Muscle Group,Exercise,Video Link (Male),Video Link (Female),Equipment,Difficulty
Biceps,Band Curl,https://musclewiki.com/band/male/biceps/band-curl,https://musclewiki.com/band/female/biceps/band-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/band/male/biceps/band-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/band/female/biceps/band-curl"">Female</a> Band",Novice
Biceps,Band Reverse Curl,https://musclewiki.com/band/male/biceps/band-reverse-curl,https://musclewiki.com/band/female/biceps/band-reverse-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/band/male/biceps/band-reverse-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/band/female/biceps/band-reverse-curl"">Female</a> Band",Novice
Biceps,Dumbbell Concentration Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-concentration-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-concentration-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/male/biceps/dumbbell-concentration-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/female/biceps/dumbbell-concentration-curl"">Female</a> Dumbbells",Beginner
Biceps,TRX Curl,https://musclewiki.com/trx/male/biceps/trx-curl,https://musclewiki.com/trx/female/biceps/trx-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/trx/male/biceps/trx-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/trx/female/biceps/trx-curl"">Female</a> TRX",Beginner
Biceps,TRX Hammer Curl,https://musclewiki.com/trx/male/biceps/trx-hammer-curl,https://musclewiki.com/trx/female/biceps/trx-hammer-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/trx/male/biceps/trx-hammer-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/trx/female/biceps/trx-hammer-curl"">Female</a> TRX",Beginner
Biceps,TRX Reverse Curl,https://musclewiki.com/trx/male/biceps/trx-reverse-curl,https://musclewiki.com/trx/female/biceps/trx-reverse-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/trx/male/biceps/trx-reverse-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/trx/female/biceps/trx-reverse-curl"">Female</a> TRX",Intermediate
Biceps,Barbell Landmine Row,https://musclewiki.com/barbell/male/biceps/barbell-landmine-row,https://musclewiki.com/barbell/female/biceps/barbell-landmine-row,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/barbell/male/biceps/barbell-landmine-row"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/barbell/female/biceps/barbell-landmine-row"">Female</a> Barbell",Intermediate
Biceps,Chin Ups,https://musclewiki.com/bodyweight/male/biceps/chin-ups,https://musclewiki.com/bodyweight/female/biceps/chin-ups,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/male/biceps/chin-ups"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/female/biceps/chin-ups"">Female</a> Bodyweight",Intermediate
Biceps,Band Kneeling Single Arm Pulldown,https://musclewiki.com/band/male/biceps/band-kneeling-single-arm-pulldown,https://musclewiki.com/band/female/biceps/band-kneeling-single-arm-pulldown,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/band/male/biceps/band-kneeling-single-arm-pulldown"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/band/female/biceps/band-kneeling-single-arm-pulldown"">Female</a> Band",Novice
Biceps,Barbell Long Landmine Row,https://musclewiki.com/barbell/male/biceps/barbell-long-landmine-row,https://musclewiki.com/barbell/female/biceps/barbell-long-landmine-row,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/barbell/male/biceps/barbell-long-landmine-row"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/barbell/female/biceps/barbell-long-landmine-row"">Female</a> Barbell",Advanced
