Muscle Group,Exercise,Video Link (Male),Video Link (Female),Equipment,Difficulty
Triceps,Incline Push Up,https://musclewiki.com/bodyweight/male/triceps/incline-push-up,https://musclewiki.com/bodyweight/female/triceps/incline-push-up,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/male/triceps/incline-push-up"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/female/triceps/incline-push-up"">Female</a> Bodyweight",Beginner
Triceps,Decline Push Up,https://musclewiki.com/bodyweight/male/triceps/decline-push-up,https://musclewiki.com/bodyweight/female/triceps/decline-push-up,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/male/triceps/decline-push-up"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/female/triceps/decline-push-up"">Female</a> Bodyweight",Beginner
Triceps,Landmine Seated Alternating Overhead Press,https://musclewiki.com/barbell/male/shoulders/landmine-seated-alternating-overhead-press,https://musclewiki.com/barbell/female/shoulders/landmine-seated-alternating-overhead-press,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/barbell/male/shoulders/landmine-seated-alternating-overhead-press"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/barbell/female/shoulders/landmine-seated-alternating-overhead-press"">Female</a> Barbell",Intermediate
Triceps,Landmine Seated Overhead Press,https://musclewiki.com/barbell/male/shoulders/landmine-seated-overhead-press,https://musclewiki.com/barbell/female/shoulders/landmine-seated-overhead-press,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/barbell/male/shoulders/landmine-seated-overhead-press"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/barbell/female/shoulders/landmine-seated-overhead-press"">Female</a> Barbell",Intermediate
Triceps,Landmine Single Arm Overhead Press,https://musclewiki.com/barbell/male/shoulders/landmine-single-arm-overhead-press,https://musclewiki.com/barbell/female/shoulders/landmine-single-arm-overhead-press,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/barbell/male/shoulders/landmine-single-arm-overhead-press"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/barbell/female/shoulders/landmine-single-arm-overhead-press"">Female</a> Barbell",Intermediate
Triceps,Landmine Single Arm Push Press,https://musclewiki.com/barbell/male/shoulders/landmine-single-arm-push-press,https://musclewiki.com/barbell/female/shoulders/landmine-single-arm-push-press,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/barbell/male/shoulders/landmine-single-arm-push-press"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/barbell/female/shoulders/landmine-single-arm-push-press"">Female</a> Barbell",Intermediate
Triceps,Dumbbell Arnold Press,https://musclewiki.com/dumbbells/male/shoulders/dumbbell-arnold-press,https://musclewiki.com/dumbbells/female/shoulders/dumbbell-arnold-press,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/male/shoulders/dumbbell-arnold-press"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/female/shoulders/dumbbell-arnold-press"">Female</a> Dumbbells",Intermediate
Triceps,Neutral Chest Press,https://musclewiki.com/machine/male/triceps/neutral-chest-press,https://musclewiki.com/machine/female/triceps/neutral-chest-press,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/machine/male/triceps/neutral-chest-press"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/machine/female/triceps/neutral-chest-press"">Female</a> Machine",Novice
Triceps,Kettlebell Incline Bench Press,https://musclewiki.com/kettlebells/male/anterior-deltoid/kettlebell-incline-bench-press,https://musclewiki.com/kettlebells/female/anterior-deltoid/kettlebell-incline-bench-press,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/male/anterior-deltoid/kettlebell-incline-bench-press"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/female/anterior-deltoid/kettlebell-incline-bench-press"">Female</a> Kettlebells",Beginner
Triceps,Cable Single Arm Incline Bench Press,https://musclewiki.com/cables/male/triceps/cable-single-arm-incline-bench-press,https://musclewiki.com/cables/female/triceps/cable-single-arm-incline-bench-press,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/cables/male/triceps/cable-single-arm-incline-bench-press"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/cables/female/triceps/cable-single-arm-incline-bench-press"">Female</a> Cables",Beginner
Triceps,Cardio Band Press Jacks,https://musclewiki.com/cardio/male/gluteus-medius/cardio-band-press-jacks,https://musclewiki.com/cardio/female/gluteus-medius/cardio-band-press-jacks,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/cardio/male/gluteus-medius/cardio-band-press-jacks"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/cardio/female/gluteus-medius/cardio-band-press-jacks"">Female</a> Cardio",Beginner
Triceps,Parralel Bar Dips,https://musclewiki.com/bodyweight/male/triceps/parralel-bar-dips,https://musclewiki.com/bodyweight/female/triceps/parralel-bar-dips,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/male/triceps/parralel-bar-dips"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/bodyweight/female/triceps/parralel-bar-dips"">Female</a> Bodyweight",Intermediate
